Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-February-2017,112.80,113.50,108.95,110.00,111.167653972990382021,726556,6149,80769526.00,258655,35.60,4.55,-2.80
14-February-2017,109.90,113.20,109.35,112.40,112.080987459597679517,836895,6764,93800018.00,309469,36.98,3.85,2.50
13-February-2017,110.00,111.00,107.35,109.75,109.556902514368700232,650024,3675,71214616.00,205011,31.54,3.65,-0.25
10-February-2017,107.00,110.30,106.65,109.55,108.837343144705380808,863216,4656,93950136.00,281522,32.61,3.65,2.55
9-February-2017,108.55,109.90,104.65,107.00,107.187303134765806535,968302,5042,103789680.00,198750,20.53,5.25,-1.55
8-February-2017,103.90,109.25,103.75,108.25,107.101517721600804979,1144874,5180,122617743.00,325053,28.39,5.50,4.35
7-February-2017,104.05,105.25,102.65,103.75,104.054453630762031042,256420,1451,26681643.00,62652,24.43,2.60,-0.30
6-February-2017,104.80,105.85,104.35,104.90,105.167419785897444068,470709,2401,49503251.00,150456,31.96,1.50,0.10
3-February-2017,103.00,105.25,102.60,104.75,104.228152289638882262,687532,3361,71660190.00,207484,30.18,2.65,1.75
2-February-2017,103.00,104.30,101.00,102.45,102.609502536608865590,805406,4342,82642309.00,200456,24.89,3.30,-0.55
1-February-2017,98.00,103.65,96.90,102.85,101.313136896134251050,1130777,5497,114562565.00,311557,27.55,6.75,4.85
